"classement_3","period","number"
construction ,"1848-1854",91
artisanat,"1848-1854",43
industrie,"1848-1854",36
commerce,"1848-1854",31
service publique ,"1848-1854",13
construction ,"1855-1860",45
industrie,"1855-1860",36
artisanat,"1855-1860",30
commerce,"1855-1860",17
construction ,"1861-1870",33
industrie,"1861-1870",18
artisanat,"1861-1870",17
commerce,"1861-1870",15
