"nom_rue_co"|"geometry"|"effectif"
Rue Léopold Robert|LINESTRING (6.828552739608766 47.10199261091055, 6.831373881075885 47.10360018178484)|29
Rue de la Combe|LINESTRING (6.8332214025682125 47.10289671174806, 6.8368739226409225 47.098114350609315)|17
Rue du Collège|LINESTRING (6.832267063514586 47.10504461152759, 6.835592494851892 47.1070023968662)|12
Rue Robert|LINESTRING (6.829869383563521 47.10564564938304, 6.8310138858765725 47.10453397769938)|11
Rue de l'Arsenal|LINESTRING (6.830304488392043 47.10190772777262, 6.830360706021551 47.101885413376785)|11
Rue de la Balance|LINESTRING (6.83114660184341 47.10494546473219, 6.832268429119846 47.10368224043184)|11
Rue de la Place d'Armes|LINESTRING (6.834327201655961 47.103365985721815, 6.836444122485587 47.10175183738141)|10
Rue de la Chapelle|LINESTRING (6.833895309408183 47.102461424975374, 6.83412367401818 47.10257021747515)|9
Rue des Terreaux|LINESTRING (6.831662994764428 47.10679606629305, 6.830683851923519 47.10621527224347)|9
Rue Versoix|LINESTRING (6.83067720204874 47.10611827824745, 6.831031890055749 47.10525730736588)|7
Rue de la Ronde|LINESTRING (6.832441984016215 47.10444391767363, 6.8352429908681644 47.106075691977104)|7
Rue du Puits|LINESTRING (6.831518745297777 47.10527906045223, 6.833483053393973 47.10644484595898)|7
Place Hotel de Ville|LINESTRING (6.832207055356989 47.10338001623649, 6.832366663629335 47.10345170964172)|6
Place Neuve|LINESTRING (6.830722439907393 47.10362009430316, 6.831673565792154 47.104053133172904)|6
Rue de l'Envers|LINESTRING (6.82891672538956 47.10038565244372, 6.829377850429261 47.100681263885235)|6
Rue du Parc|LINESTRING (6.826947151736613 47.10273754986727, 6.8300341307706915 47.104648844115275)|6
Boulevard de la Citadelle|LINESTRING (6.830839289583338 47.10827962376056, 6.8310431531583085 47.108651017552894)|5
Fleur de lys|LINESTRING (6.830340478201258 47.10262157686031, 6.83054047820126 47.1028215768603)|5
Rue de la Charrière|LINESTRING (6.830822330345765 47.10719580388127, 6.830920537556916 47.10742850576622)|5
Rue de la Citadelle|LINESTRING (6.829666847632619 47.10707290113714, 6.829866847632621 47.1072729011371)|5
Rue de la Demoiselle|LINESTRING (6.829009591830407 47.105555402678945, 6.830487998287248 47.10656910265688)|5
Rue de la Grognerie|LINESTRING (6.828575771441799 47.10621551774039, 6.829880889615128 47.107007576477415)|5
Rue de la Serre|LINESTRING (6.827159030851482 47.10214002271397, 6.830461875803331 47.10431777434004)|5
Rue du Soleil|LINESTRING (6.831293565294753 47.10551669059198, 6.832400454868312 47.10615119697232)|5
Rue du Stand|LINESTRING (6.82939969553001 47.10534831648008, 6.831775705585615 47.10338569451544)|5
Grand Rue|LINESTRING (6.826010216100796 47.10045468436583, 6.831397725572692 47.103479429408495)|4
Rue St. Pierre|LINESTRING (6.829915579400062 47.10374899642891, 6.8301155794000605 47.10394899642888)|4
Rue de Gibraltar|LINESTRING (6.8354806592795505 47.10040497568135, 6.835788068478483 47.09992739474079)|4
Rue de l'Hopital|LINESTRING (6.827746626410961 47.10200153401714, 6.827509545014886 47.102181654013165)|4
Rue des Arts|LINESTRING (6.826524820141265 47.099574939160924, 6.826724820141259 47.0997749391609)|4
Rue des Juifs|LINESTRING (6.8333092465031084 47.10362269585589, 6.833632224425685 47.10367389093536)|4
Rue du Grenier|LINESTRING (6.831405237342701 47.101451767182326, 6.832093279247544 47.10316649715559)|4
Place du Temple|LINESTRING (6.8333078196765396 47.10402366257313, 6.833582183490379 47.10423602548418)|3
Rue Dufour|LINESTRING (6.836157725966996 47.10079782491869, 6.836855661692365 47.100452044871126)|3
Rue Fritz Courvoisier|LINESTRING (6.83310727471619 47.103544193892, 6.8336351590306785 47.10361244904095)|3
Rue Jaquet-Droz|LINESTRING (6.825719566008248 47.09891937234305, 6.829244590576367 47.101090026902966)|3
Rue de l'Industrie|LINESTRING (6.830999785844244 47.10568275926038, 6.833025392237078 47.10682449819729)|3
Rue de la Cure|LINESTRING (6.832458354258225 47.10412010954743, 6.833113595273821 47.1045023717724)|3
Rue de la Promenade|LINESTRING (6.832616177928177 47.10171282718703, 6.833069263642651 47.10127024155492)|3
Rue des Cornes-Morel|LINESTRING (6.8363757366472715 47.104856344925224, 6.836717530196078 47.10513010433403)|3
Rue des Granges|LINESTRING (6.833539816115944 47.103089066494, 6.833841314416448 47.103216615004996)|3
Rue du Jet-Eau|LINESTRING (6.826180341593281 47.10303346987746, 6.826464659187337 47.10317824905012)|3
Rue du Pont|LINESTRING (6.833838698332617 47.10472474662049, 6.834092967461062 47.10489358676755)|3
Rue du Pré|LINESTRING (6.828907383975366 47.10481006173804, 6.82910738397537 47.10501006173799)|3
Usine à gaz|LINESTRING (6.834613447292504 47.1065772162257, 6.834813447292501 47.1067772162257)|3
