"nom_ville"|"long"|"lat"|"periode"|"effectif"
Roma|12.4818|41.8931|"1855_1860"|1
Ronago|8.9834|45.8341|"1861_1870"|1
Rossa|8.123|45.8565|"1855_1860"|1
Ruelle-Vergy|4.897|47.1869|"1855_1860"|1
Rully|4.7499|46.867|"1848_1854"|1
Rully|4.7499|46.867|"1855_1860"|1
Saint-Cergues|6.3168|46.2338|"1848_1854"|1
Saint-Cergues|6.3168|46.2338|"1855_1860"|1
Saint-Jean-d'Aulps|6.6498|46.2338|"1848_1854"|1
Serravalle Scrivia|8.8591|44.7243|"1848_1854"|1
Serravalle Scrivia|8.8591|44.7243|"1855_1860"|1
Serravalle Scrivia|8.8591|44.7243|"1861_1870"|3
Seytroux|6.6333|46.2504|"1855_1860"|1
Soriso|8.4114|45.7417|"1861_1870"|1
Sostegno|8.2686|45.6534|"1848_1854"|3
Suna|8.5522|45.9239|"1861_1870"|1
Taninges|6.5997|46.1168|"1848_1854"|2
Thonon-les-Bains|6.4837|46.3671|"1848_1854"|3
Thonon-les-Bains|6.4837|46.3671|"1855_1860"|1
Torino|7.6753|45.0803|"1848_1854"|1
Torino|7.6753|45.0803|"1855_1860"|1
Torino|7.6753|45.0803|"1861_1870"|1
Trasquera|8.2137|46.2131|"1855_1860"|3
Trasquera|8.2137|46.2131|"1861_1870"|4
Traversella|7.7495|45.5169|"1861_1870"|4
Vadans|5.5876|47.3488|"1855_1860"|1
Valgrisenche|7.0656|45.6304|"1848_1854"|11
Valgrisenche|7.0656|45.6304|"1855_1860"|7
Valgrisenche|7.0656|45.6304|"1861_1870"|4
Varallo|8.2576|45.8144|"1848_1854"|1
Varallo|8.2576|45.8144|"1855_1860"|1
Varallo|8.2576|45.8144|"1861_1870"|4
Vargo|8.8838|44.7492|"1848_1854"|2
Vargo|8.8838|44.7492|"1855_1860"|2
Vargo|8.8838|44.7492|"1861_1870"|1
Varzo|8.2521|46.2093|"1848_1854"|4
Varzo|8.2521|46.2093|"1855_1860"|7
Varzo|8.2521|46.2093|"1861_1870"|24
Veigy-Foncenex|6.2502|46.267|"1848_1854"|3
Veigy-Foncenex|6.2502|46.267|"1855_1860"|1
Vercelli|8.4224|45.3261|"1848_1854"|1
Vercelli|8.4224|45.3261|"1855_1860"|1
Vercelli|8.4224|45.3261|"1861_1870"|2
Viconago-Cadegliano|8.8344|45.9674|"1861_1870"|1
Vienne|4.8666|45.5167|"1848_1854"|1
Vigevano|8.8673|45.3184|"1855_1860"|1
Ville-la-Grand|6.2502|46.2|"1848_1854"|2
Vintebbio|8.3324|45.6673|"1861_1870"|3
Viuz-en-Sallaz|6.4164|46.1501|"1848_1854"|2
Viuz-en-Sallaz|6.4164|46.1501|"1855_1860"|5
Évires|6.2244|46.0376|"1848_1854"|2
