"nom_rue_co"|"geometry"|"effectif"
Rue de la Combe|LINESTRING (6.8332214025682125 47.10289671174806, 6.8368739226409225 47.098114350609315)|26
Grand Rue|LINESTRING (6.826010216100796 47.10045468436583, 6.831397725572692 47.103479429408495)|13
Rue du Stand|LINESTRING (6.82939969553001 47.10534831648008, 6.831775705585615 47.10338569451544)|10
Rue Léopold Robert|LINESTRING (6.828552739608766 47.10199261091055, 6.831373881075885 47.10360018178484)|9
Rue du Puits|LINESTRING (6.831518745297777 47.10527906045223, 6.833483053393973 47.10644484595898)|7
Rue de la Ronde|LINESTRING (6.832441984016215 47.10444391767363, 6.8352429908681644 47.106075691977104)|6
Rue des Juifs|LINESTRING (6.8333092465031084 47.10362269585589, 6.833632224425685 47.10367389093536)|6
Rue du Collège|LINESTRING (6.832267063514586 47.10504461152759, 6.835592494851892 47.1070023968662)|6
Rue du Grenier|LINESTRING (6.831405237342701 47.101451767182326, 6.832093279247544 47.10316649715559)|6
Rue de la Balance|LINESTRING (6.83114660184341 47.10494546473219, 6.832268429119846 47.10368224043184)|5
Rue de la Place d'Armes|LINESTRING (6.834327201655961 47.103365985721815, 6.836444122485587 47.10175183738141)|5
Place Neuve|LINESTRING (6.830722439907393 47.10362009430316, 6.831673565792154 47.104053133172904)|4
Rue Dufour|LINESTRING (6.836157725966996 47.10079782491869, 6.836855661692365 47.100452044871126)|4
Rue Robert|LINESTRING (6.829869383563521 47.10564564938304, 6.8310138858765725 47.10453397769938)|4
Rue Versoix|LINESTRING (6.83067720204874 47.10611827824745, 6.831031890055749 47.10525730736588)|4
Boulevard de la Citadelle|LINESTRING (6.830839289583338 47.10827962376056, 6.8310431531583085 47.108651017552894)|3
Rue de Gibraltar|LINESTRING (6.8354806592795505 47.10040497568135, 6.835788068478483 47.09992739474079)|3
Rue de la Charrière|LINESTRING (6.830822330345765 47.10719580388127, 6.830920537556916 47.10742850576622)|3
Rue de la Citadelle|LINESTRING (6.829666847632619 47.10707290113714, 6.829866847632621 47.1072729011371)|3
Rue de la Demoiselle|LINESTRING (6.829009591830407 47.105555402678945, 6.830487998287248 47.10656910265688)|3
Rue des Terreaux|LINESTRING (6.831662994764428 47.10679606629305, 6.830683851923519 47.10621527224347)|3
Rue de la Cure|LINESTRING (6.832458354258225 47.10412010954743, 6.833113595273821 47.1045023717724)|2
Rue du Parc|LINESTRING (6.826947151736613 47.10273754986727, 6.8300341307706915 47.104648844115275)|2
Rue du Pont|LINESTRING (6.833838698332617 47.10472474662049, 6.834092967461062 47.10489358676755)|2
Place Hotel de Ville|LINESTRING (6.832207055356989 47.10338001623649, 6.832366663629335 47.10345170964172)|1
Place du Temple|LINESTRING (6.8333078196765396 47.10402366257313, 6.833582183490379 47.10423602548418)|1
Rue de l'Arsenal|LINESTRING (6.830304488392043 47.10190772777262, 6.830360706021551 47.101885413376785)|1
Rue de l'Industrie|LINESTRING (6.830999785844244 47.10568275926038, 6.833025392237078 47.10682449819729)|1
Rue de la Chapelle|LINESTRING (6.833895309408183 47.102461424975374, 6.83412367401818 47.10257021747515)|1
Rue de la Grognerie|LINESTRING (6.828575771441799 47.10621551774039, 6.829880889615128 47.107007576477415)|1
Rue de la Serre|LINESTRING (6.827159030851482 47.10214002271397, 6.830461875803331 47.10431777434004)|1
Rue des Granges|LINESTRING (6.833539816115944 47.103089066494, 6.833841314416448 47.103216615004996)|1
