"Ville origine"
""
Agrion
Aix
Alagna
Albagno
Albagno Ossola
Albert Pot.
Albizate
Albizzate
Albizzate 
Albogno
Albogno 
Allagna
Allogno
Alpette
Annecy
Annemasse
Annency
Aosta
Ara
Ara 
Archamp
Archamps
Archanip
Arola
Arona
Arvier
Assola
Asti
Auvemost
Babbio
Bagére
Beaumont
Bluses
Bobbio
Bondione
Bonneville
Borgosesia
Brocioletta
Brusnengo
Buttogno
Cabère Lullin
Campertogno
Carcoffaro
Casella
Cavadone
Cavandione
Cavandone
Cavarchione
Celle
Celli (Valsesia)
Cellio
Challonge
Challonges
Chambery
Chambrières
Chamonix
Cimamulero
Cimanulera
Cluses
Clusone
Collio
Congano
Conzago
Conzano
Cortemaggiore
Cossato
Cranves
Crasso
Crescentino
Cuarna Sopra 
Curate
Curiglia 
D. du Pré
Domodossola
Domodossola 
Douio
Drecio
Entre-Mois 
Entremont
Esserts
Evires
Faminge
Fara
Farmaco
Feningue
Festegno
Finamulera
Foresto
Formaca
Formanco
Formaro
Fornaco
Gailland
Gaillard
Gaillard 
Garlasca
Garlasco
Gartasco
Genes
Gozzano
Gray
Grignasco
Grénoble
Guaranca
Guarona
Habere Lullin
Habere-Roche
Habère Lullin
Halère
Hargueva
Hebere-Poche
Henry
Hergour
Hericourt
Hezy sur Algine
Jeresto
Juvigny
Lillon
Loisin
Lugrin
Lullin
Maggiandone
Maggiardone
Maggiora
Maggiore
Maggiorno
Maglano
Marpod
Massarano
Masserano
Masserdud
Massrano
Mayland
Mesenzana
Miggiandone
Migiandone
Milan
Montescheno
Monza
Morca (Varallo)
Murisengo
N. du Pré
N.D. Dupré
N.D. du Pre
N.D. du Pré
N.D. du pré
Nangu
Nangy
Neydans
Neydens
Nid du Phé
Notre Dame de Paris
Novara
Noége
Ora (Borgosesia)
Ossola
Parone
Parone 
Paver
Pinerolo
Pralognan
Prato
Prestinari Osola
Quarona
Rima
Rima S. Joseph
Rimasco
Rina
Rivarolo
Rome
Ronago
Rossa
Rullie
S.André
Saitroux
Sarone
Sarracavalo
Seravallo
Serravalle
Serravalle Sesio
Soriso
Sostegno
St Hergues 
St. Cergues
St. Jean d'Alphone
St. Russo
Sulleni
Suna
Taninge
Taversella
Thonon
Thonon-les-Bains
Trasquera
Travelles
Travesella
Turin
Valgnasaute
Valgnisanche
Valgrisanche
Valgrisanche 
Valgrisauche
Valgrisenche
Valprato
Varallo
Vargo
Varzo
Veigi
Velgny
Vercelli
Vercelli 
Vergy
Veydans
Veygni
Viconago (Como)
Viegy
Vien en Sallaz
Vienz en Salaz
Vigerano
Villa Bobbio
Villabobbio
Villar Bobbio
Villard
Villard Bobbio
Ville la Grand
Ville le Grand
Vintebbio
Vinz
Vinz en Sallaz
Vinzen Sallaz
Viuz en Sallaz 
Vocogno
Vuiger Sallag
